Planet_Name,Host_Star,Discovery_Method,Discovery_Year,Discovery_Facility,Reference_Name,Orbital_Period_Days,Orbital_Period_Error_Upper,Orbital_Period_Error_Lower,Semi_Major_Axis_AU,Planet_Radius_Earth,pl_radj,Planet_Mass_Earth,pl_bmassj,pl_bmassprov,Orbital_Eccentricity,pl_insol,Equilibrium_Temperature,UEB_temp,LEB_temp,pl_eqtlim,ttv_flag,st_refname,st_spectype,Star_Temperature_K,Star_UEBTemp,Star_LEBTemp,st_tefflim,Star_Radius_Solar,Star_Mass_Solar,Star_Metallicity,Star_Surface_Gravity,sy_refname,rastr,ra,dec,System_Distance_PC,System_Visual_Magnitude,System_Infrared_Magnitude,Discovery_Date,features,scaled_features,Discovery_Method_Index,Discovery_Facility_Index
TOI-2803 A b,TOI-2803 A,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,1.96229325,8.2E-7,-8.20E-07,0.03185,18.114,1.616,309.8827,0.975,Mass,0,2150,1893,29,-28,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,Unknown,6280,99,-96,0,1.25,1.12,-0.105,4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h12m27.54s,93.1147397,-23.4924956,494.818,12.537,11.282,1/1/2023,"[18.114,309.8827,6280.0]","[1.7785199219829677,0.06114989873503107,1.0848408986976696]",0,0
HATS-74 A b,HATS-74 A,Transit,2021,HATSouth,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacute;n et al. 2022</a>,1.73185606,5.5E-7,-5.50E-07,0.02384,11.568,1.032,464.02947,1.46,Mass,0.044,106.9,895,6,-6,0,0,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacute;n et al. 2022</a>,Unknown,3776.9,9.5,-9.5,0,0.58,0.6,0.514,4.7,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h24m03.55s,171.0147921,-19.5569588,299.389,17.26,12.361,1/1/2021,"[11.568,464.02947,3776.9]","[0.5889465510961714,0.3800451230062911,-1.980782581705198]",0,4
TOI-6016 b,TOI-6016,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=EHRHARDT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...692A.220E/abstract target=ref>Ehrhardt et al. 2024</a>,4.023687,3.0E-6,-3.00E-06,0.055,13.675,1.22,371.85924,1.17,Mass,0,940,1890,40,-40,0,0,<a refstr=EHRHARDT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...692A.220E/abstract target=ref>Ehrhardt et al. 2024</a>,F,6110,50,-50,0,1.51,1.31,0.28,4.19,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h18m05.75s,4.5239602,59.7661983,364.715,11.886,10.224,1/1/2024,"[13.675,371.85924,6110.0]","[0.9718416156330613,0.18936551183452527,0.8766366752673282]",0,0
TOI-2818 b,TOI-2818,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,4.039709,2.4E-6,-2.30E-06,0.0493,15.278,1.363,225.65817,0.71,Mass,0,598,1376,26,-24,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,Unknown,5721,88,-83,0,1.23,0.98,-0.02,4.25,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h56m14.36s,119.0598183,-35.1167104,312.674,11.937,10.403,1/1/2023,"[15.278,225.65817,5721.0]","[1.2631471630714257,-0.11309183453963607,0.40021642282966474]",0,0
TOI-4010 d,TOI-4010,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>,14.70886,3.0E-5,-3.00E-05,0.113,6.18,0.551,38.15,0.12003,Mass,0.07,30,650,6,-6,0,0,<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>,K V,4960,36,-36,0,0.83,0.88,0.37,4.54,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h20m51.56s,20.2148196,66.0722009,177.504,12.291,10.157,1/1/2023,"[6.18,38.15,4960.0]","[-0.3901890007428229,-0.5010043410737889,-0.5318036597026282]",0,0
LTT 3780 c,LTT 3780,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BONFANTI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A..66B/abstract target=ref>Bonfanti et al. 2024</a>,12.252284,1.3E-5,-1.30E-05,0.0757,2.39,0.213,8.04,0.0253,Mass,0.024,2.76,359,10,-10,0,0,<a refstr=BONFANTI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A..66B/abstract target=ref>Bonfanti et al. 2024</a>,Unknown,3358,92,-92,0,0.38,0.38,0.06,4.85,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h18m34.78s,154.6449033,-11.717801,21.9814,13.14,8.204001,1/1/2020,"[2.39,8.04,3358.0]","[-1.0789276313051444,-0.5632952032359194,-2.4938222828520806]",0,0
TOI-561 c,TOI-561,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,10.778831,3.4E-5,-3.60E-05,0.0884,2.91,0.26,5.39,0.01696,Mass,0.03,68.2,800,11,-11,0,0,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,G9 V,5372,70,-70,0,0.84,0.81,-0.4,4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h52m44.44s,148.1851516,6.216103,85.799,10.252,8.394,1/1/2020,"[2.91,5.39,5372.0]","[-0.9844305104892058,-0.5687774611146855,-0.02721460056556555]",0,0
HATS-69 b,HATS-69,Transit,2018,HATSouth,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,2.2252577,1.9E-6,-1.90E-06,0.03211,10.593,0.945,183.38791,0.577,Mass,0.519,466.6,1296,7,-7,0,0,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Unknown,5137,16,-16,0,0.88,0.89,0.377,4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m11.38s,289.2974275,-60.8917599,414.537,14.074,11.875,1/1/2018,"[10.593,183.38791,5137.0]","[0.41176444956628666,-0.20053955752925484,-0.315026321189861]",0,4
HAT-P-58 b,HAT-P-58,Transit,2021,HATNet,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>,4.0138379,2.4E-6,-2.40E-06,0.04994,14.93,1.332,118.23217,0.372,Mass,0.073,1146,1622,18,-18,0,0,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>,Unknown,6078,48,-48,0,1.53,1.03,-0.224,4.08,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h35m23.16s,68.8465093,56.8682691,515.59,12.925,10.978,1/1/2021,"[14.93,118.23217,6078.0]","[1.199906782217682,-0.33533222506202187,0.8374452920333817]",0,5
TOI-3984 A b,TOI-3984 A,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=CA_NTILDE_AS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...30C/abstract target=ref>Ca&ntilde;as et al. 2023</a>,4.353326,5.0E-6,-5.00E-06,0.041,7.9,0.71,44,0.14,Mass,0.23,16.7,563,15,-15,0,0,<a refstr=CA_NTILDE_AS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...30C/abstract target=ref>Ca&ntilde;as et al. 2023</a>,M4+/-0.5,3476,88,-88,0,0.47,0.49,0.18,4.81,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h05m20.92s,226.3371468,36.7869747,108.883,15.694,11.052,1/1/2023,"[7.9,44.0,3476.0]","[-0.07762160112087212,-0.4889019982093431,-2.3493040571769024]",0,0
TOI-4463 A b,TOI-4463 A,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,2.8807198,2.8E-6,-2.70E-06,0.04036,13.26,1.183,252.35576,0.794,Mass,0,633,1395,25,-22,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,Unknown,5640,89,-82,0,1.06,1.06,0.25,4.41,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h37m25.95s,279.3581286,18.7299522,173.117,11.036,9.402,1/1/2023,"[13.26,252.35576,5640.0]","[0.8964256442126485,-0.05786048619187539,0.30101323401873736]",0,0
TOI-406.01,TOI-406,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LACEDELLI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240911083L/abstract target=ref>Lacedelli et al. 2024</a>,13.175682,1.7E-5,-1.60E-05,0.0809,2.08,0.186,6.57,0.02067,Mass,0.056,3,368,14,-14,0,0,<a refstr=LACEDELLI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240911083L/abstract target=ref>Lacedelli et al. 2024</a>,M3,3392,44,-44,0,0.41,0.41,-0.02,4.69,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h17m03.03s,49.2626428,-42.2441492,31.0597,13.773,8.848,1/1/2024,"[2.08,6.57,3392.0]","[-1.1352624533300308,-0.5663363047762161,-2.4521814381660123]",0,0
K2-266 d,K2-266,Transit,2018,K2,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,14.697,3.4E-4,-3.50E-04,0.1035,2.93,0.261,8.9,0.028,Mass,0.047,13.95,538,6,-6,0,1,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,Unknown,4285,49,-57,0,0.7,0.69,-0.12,4.58,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h31m44.56s,157.9356855,0.9372782,77.5586,11.625,8.897,1/1/2018,"[2.93,8.9,4285.0]","[-0.9807960058424391,-0.561516055396018,-1.3584968997936897]",0,2
TOI-1420 b,TOI-1420,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YOSHIDA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..181Y/abstract target=ref>Yoshida et al. 2023</a>,6.9561063,1.7E-6,-1.70E-06,0.071,11.89,1.061,25.1,0.07897,Mass,0.17,139,957,17,-17,0,0,<a refstr=YOSHIDA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..181Y/abstract target=ref>Yoshida et al. 2023</a>,Unknown,5510,110,-110,0,0.92,0.99,0.28,4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h31m46.03s,322.9418092,66.3490054,201.918,11.655,10.119,1/1/2023,"[11.89,25.1,5510.0]","[0.6474620759091182,-0.5280018751560143,0.14179823963082921]",0,0
TOI-2567 b,TOI-2567,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,5.983944,1.3E-5,-1.30E-05,0.0672,10.929,0.975,63.88351,0.201,Mass,0,558,1352,18,-19,0,0,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,Unknown,5611,62,-65,0,1.69,1.13,0.241,4.04,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h13m51.76s,288.4656683,66.3479375,504.775,12.3,10.717,1/1/2022,"[10.929,63.88351,5611.0]","[0.4728241276319701,-0.4477674588300889,0.26549604296297324]",0,0
HD 191939 d,HD 191939,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ORELL_MIQUEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221100667O/abstract target=ref>Orell-Miquel et al. 2022</a>,38.353037,6.0E-5,-6.00E-05,0.2132,2.995,0.267,2.8,0.00881,Mass,0.031,14.3,540,11,-11,0,0,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,G9 V,5348,100,-100,0,0.94,0.81,-0.15,4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h08m06.15s,302.0256247,66.8503014,53.6089,8.97,7.18,1/1/2020,"[2.995,2.8,5348.0]","[-0.9689838657404467,-0.57413559239997,-0.056608137991025514]",0,0
HD 95338 b,HD 95338,Radial Velocity,2020,Las Campanas Observatory,<a refstr=D_IACUTE_AZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.1860D/abstract target=ref>D&iacute;az et al. 2020</a>,55.087,0.02,-0.02,0.262,3.89,0.347,42.44,0.13353,Mass,0.197,7.42,385,17,-17,0,0,<a refstr=D_IACUTE_AZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.1860D/abstract target=ref>D&iacute;az et al. 2020</a>,K0.5 V,5212,16,-11,0,0.87,0.83,0.04,4.54,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m25.52s,164.8563364,-56.6235564,36.9941,8.62,6.591,1/1/2020,"[3.89,42.44,5212.0]","[-0.8063397827976292,-0.49212928963986197,-0.22317151673529864]",1,33
TOI-2583 A b,TOI-2583 A,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,4.5207265,4.9E-6,-4.90E-06,0.0571,14.46,1.29,79.4571,0.25,Mass,0,750.9,1456,19,-16,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,Unknown,5936,65,-68,0,1.48,1.22,0.158,4.18,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h09m04.09s,272.2670293,45.3368996,566.189,12.586,11.245,1/1/2023,"[14.46,79.4571,5936.0]","[1.1144959230186609,-0.41554918091379744,0.6635335289327435]",0,0
K2-3 c,K2-3,Transit,2015,K2,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,24.646729,4.4E-5,-4.20E-05,0.1357,1.582,0.141,2.68,0.00843,Mass,0.048,3.17,372,4,-4,0,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,M V,3844,61,-63,0,0.55,0.55,-0.157,4.7,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-1.4551364,44.0727,12.168,8.561,1/1/2015,"[1.582,2.68,3844.0]","[-1.225761619034526,-0.574383845586933,-1.8986031499865164]",0,2
