Discovery_Method,Discovery_Facility,Host_Star,Discovery_Year
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 6061,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 22946,2022
Transit,HATSouth,HATS-10,2015
Transit,HATSouth,HATS-35,2016
Transit,K2,HD 73344,2024
Transit,Kepler,Kepler-406,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1411,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 25463,2023
Transit,K2,HD 3167,2016
Transit,Kepler,Kepler-105,2013
Transit,Kepler,Kepler-56,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5786,2025
Transit,Multiple Observatories,HD 110067,2023
Transit,K2,K2-24,2016
Transit,Kepler,Kepler-62,2013
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4329,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-559,2021
Transit,HATNet,HAT-P-66,2016
Transit,Kepler,Kepler-27,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),GJ 143,2019
Transit,HATNet,HAT-P-8,2008
Transit,K2,K2-19,2015
Transit,KELT,KELT-7,2015
Transit,Transiting Exoplanet Survey Satellite (TESS),TIC 46432937,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1823,2024
Transit,CoRoT,CoRoT-13,2010
Transit,CoRoT,CoRoT-21,2012
Transit,Kepler,Kepler-16,2011
Transit,Kepler,Kepler-74,2013
Transit,Kepler,PH1,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),LTT 9779,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1749,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),NGTS-30,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1294,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-178,2021
Transit,K2,EPIC 220674823,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),HIP 97166,2021
Transit,Kepler,Kepler-11,2010
Transit,Kepler,Kepler-11,2010
Transit,Transiting Exoplanet Survey Satellite (TESS),TIC 279401253,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 28109,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),L 168-9,2020
Transit,CoRoT,CoRoT-17,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-270,2019
Transit,CoRoT,CoRoT-18,2011
Transit,HATNet,HAT-P-28,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-178,2021
Transit,K2,K2-287,2018
Transit,Kepler,Kepler-1705,2021
Transit,Kepler,Kepler-1972,2014
Transit,Kepler,Kepler-453,2015
Transit,Kepler,Kepler-58,2012
Transit,Kepler,Kepler-79,2012
Transit,Kepler,Kepler-95,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1259 A,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1273,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-201,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4504,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4633,2024
Transit,HATNet,HAT-P-55,2015
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 183579,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),HIP 8152,2023
Transit,Kepler,Kepler-37,2013
Transit,HATNet,HAT-P-4,2007
Transit,Kepler,Kepler-58,2012
Transit,Kepler,Kepler-80,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2373,2023
Transit,KELT,KELT-8,2015
Transit,Kepler,Kepler-117,2014
Transit,Kepler,Kepler-23,2011
Transit,Kepler,Kepler-30,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3071,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4582,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5076,2024
Transit,HATSouth,HATS-45,2018
Transit,Kepler,Kepler-408,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1444,2021
Transit,CoRoT,CoRoT-26,2013
Transit,Kepler,KOI-1783,2020
Transit,Kepler,Kepler-35,2011
Transit,Kepler,Kepler-91,2013
Transit,Kepler,Kepler-102,2014
Transit,Kepler,Kepler-23,2014
Transit,K2,K2-138,2017
Transit,Kepler,Kepler-407,2014
Transit,Kepler,Kepler-539,2016
Transit,Kepler,Kepler-77,2013
Transit,Qatar,Qatar-8,2019
Transit,CoRoT,CoRoT-4,2008
Transit,Kepler,Kepler-129,2014
Transit,Kepler,Kepler-177,2013
Transit,Qatar,Qatar-4,2017
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-163,2019
Transit,CoRoT,CoRoT-27,2014
Transit,HATNet,HAT-P-50,2015
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 42813,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 77946,2024
Transit,Kepler,Kepler-106,2014
Transit,Kepler,Kepler-79,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2338,2023
Radial Velocity,W. M. Keck Observatory,HD 209458,1999
Transit,Kepler,Kepler-19,2011
Transit,Kepler,Kepler-21,2012
Transit,Kepler,Kepler-98,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2202,2021
Transit,HATSouth,HATS-50,2017
Transit,K2,K2-38,2016
Transit,HATSouth,HATS-1,2012
Transit,Kepler,Kepler-102,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TIC 172900988 Aa,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4914,2024
Transit,HATNet,HAT-P-37,2011
Transit,Multiple Observatories,HD 110067,2023
Transit,Kepler,Kepler-46,2012
Transit,Kepler,Kepler-9,2010
Transit,CoRoT,CoRoT-28,2015
Transit,Transiting Exoplanet Survey Satellite (TESS),HIP 8152,2023
Transit,K2,K2-237,2018
Transit,Kepler,Kepler-433,2015
Transit,Kepler,KOI-142,2013
Transit,Kepler,Kepler-32,2011
Transit,Kepler,Kepler-418,2014
Transit,Kepler,Kepler-79,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1443,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-244,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2977,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4600,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-628,2021
Transit,CoRoT,CoRoT-36,2022
Transit,HATNet,HAT-P-51,2015
Transit,Kepler,Kepler-30,2012
Transit,Kepler,Kepler-425,2014
Transit,Kepler,Kepler-538,2016
Transit,Kepler,Kepler-85,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2525,2023
Radial Velocity,W. M. Keck Observatory,HD 97658,2010
Transit,Kepler,Kepler-68,2013
Transit,HATNet,HAT-P-26,2010
Transit,Kepler,Kepler-109,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1776,2024
Radial Velocity,Subaru Telescope,HD 149026,2005
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2981,2024
Transit,Kepler,Kepler-52,2012
Transit,Kepler,Kepler-78,2013
Transit,Kepler,Kepler-94,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2088,2024
Transit,Kepler,Kepler-167,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1347,2024
Transit,Kepler,Kepler-289,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1836,2024
Transit,K2,K2-114,2017
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-178,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2184,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4377,2023
Transit,K2,GJ 9827,2017
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 63433,2020
Transit,KELT-South,KELT-11,2017
Transit,Kepler,Kepler-128,2013
Transit,Kepler,Kepler-57,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1248,2024
Transit,K2,K2-111,2017
Transit,Kepler,Kepler-103,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1235,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-251,2021
Transit,HATSouth,HATS-57,2019
Transit,K2,K2-146,2018
Transit,K2,K2-199,2018
Transit,Kepler,Kepler-17,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2076,2021
Transit,HATNet,HAT-P-31,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),HIP 94235,2022
Transit,Kepler,Kepler-107,2014
Transit,Kepler,Kepler-1708,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2076,2021
Transit,HATNet,HAT-P-45,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 152843,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 15337,2019
Transit,KELT,KELT-16,2017
Transit,Kepler,Kepler-101,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 213885,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 28109,2022
Transit,Kepler,Kepler-23,2011
Transit,Kepler,Kepler-32,2011
Transit,Next-Generation Transit Survey (NGTS),NGTS-6,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-544,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),LHS 1478,2021
Transit,K2,K2-141,2018
Transit,Kepler,Kepler-29,2011
Transit,Kepler,Kepler-40,2010
Transit,CoRoT,CoRoT-29,2015
Transit,HATSouth,HATS-5,2014
Transit,HATSouth,HATS-52,2017
Transit,Kepler,Kepler-41,2011
Transit,Kepler,Kepler-75,2013
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1246,2022
Transit,K2,K2-31,2016
Transit,Kepler,Kepler-100,2014
Transit,Kepler,Kepler-447,2015
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-178,2021
Transit,HATNet,HAT-P-56,2015
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 93963 A,2022
Transit,Qatar,Qatar-1,2010
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1386,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1820,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2374,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1075,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-421,2020
Transit,HATNet,HAT-P-52,2015
Transit,Multiple Observatories,HD 110067,2023
Transit,K2,K2-265,2018
Transit,Next-Generation Transit Survey (NGTS),NGTS-4,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1601,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-481,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5005,2024
Transit,K2,K2-233,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 221416,2019
Radial Velocity,McDonald Observatory,55 Cnc,2004
Transit,Kepler,Kepler-28,2011
Orbital Brightness Modulation,Kepler,Kepler-76,2013
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1199,2024
Radial Velocity,Haute-Provence Observatory,HD 189733,2005
Transit,K2,K2-266,2018
Transit,HATNet,HAT-P-36,2011
Transit,K2,K2-131,2017
Transit,Kepler,KOI-94,2013
Transit,Kepler,Kepler-102,2013
Transit,Kepler,Kepler-106,2014
Transit,KELT,KELT-3,2013
Transit,Kepler,Kepler-24,2011
Transit,Kepler,Kepler-80,2014
Transit,CoRoT,CoRoT-19,2011
Transit,Kepler,Kepler-128,2013
Transit,Kepler,Kepler-289,2014
Transit,Kepler,Kepler-454,2015
Transit,HATSouth,HATS-14,2015
Transit,K2,K2-18,2015
Transit,Transiting Exoplanet Survey Satellite (TESS),GJ 3090,2022
Transit,Kepler,Kepler-117,2014
Transit,HATSouth,HATS-28,2016
Transit,HATSouth,HATS-42,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1437,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2107,2024
Transit,HATSouth,HATS-4,2014
Transit,Kepler,Kepler-24,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1694,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-332,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 63433,2020
Transit,K2,K2-115,2017
Transit,K2,K2-39,2016
Transit,Kepler,Kepler-37,2013
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1670,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 93963 A,2022
Transit,K2,K2-141,2018
Transit,K2,EPIC 229004835,2023
Transit,Kepler,Kepler-107,2014
Transit,Kepler,Kepler-43,2011
Transit,Kepler,Kepler-49,2012
Transit,Next-Generation Transit Survey (NGTS),NGTS-10,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1451,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1794,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2109,2021
Transit,European Space Agency (ESA) Gaia Satellite,Gaia-2,2022
Transit,Kepler,Kepler-107,2014
Transit,Kepler,Kepler-323,2014
Transit,Kepler,Kepler-62,2013
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2018,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-480,2024
Transit,K2,BD+20 594,2016
Transit,K2,K2-182,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2145,2023
Transit,HATNet,HAT-P-18,2010
Radial Velocity,Subaru Telescope,HD 17156,2007
Transit,Next-Generation Transit Survey (NGTS),NGTS-14 A,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),NGTS-20,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-530,2021
Transit,HATSouth,HATS-3,2013
Transit,Kepler,Kepler-56,2012
Transit,OGLE,OGLE-TR-132,2004
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1789,2021
Transit,HATSouth,HATS-16,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 2685,2019
Transit,Qatar,Qatar-9,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1130,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1807,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3919,2024
Transit,K2,K2-97,2016
Transit,Kepler,Kepler-30,2012
Transit,Kepler,Kepler-60,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1279,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1468,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1742,2024
Transit,Kepler,Kepler-100,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1470,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1696,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2447,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-150,2019
Transit,K2,K2-36,2016
Transit,Kepler,KOI-3680,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2019,2024
Transit,CoRoT,CoRoTID 223977153,2017
Transit,K2,K2-36,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-6255,2024
Transit,HATNet,HAT-P-40,2012
Transit,HATSouth,HATS-58 A,2019
Transit,Kepler,Kepler-5,2009
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-178,2021
Transit,CoRoT,CoRoT-7,2009
Transit,HATSouth,HATS-30,2016
Transit,Kepler,Kepler-113,2014
Transit,OGLE,OGLE-TR-56,2002
Transit,K2,K2-136,2017
Transit,Kepler,Kepler-85,2012
Radial Velocity,W. M. Keck Observatory,GJ 414 A,2021
Transit,HATNet,HAT-P-42,2012
Transit,Kepler,KOI-1257,2014
Transit,HATNet,HAT-P-14,2010
Transit,K2,HD 89345,2018
Transit,Kepler,Kepler-10,2011
Transit,Kepler,Kepler-11,2010
Transit,Kepler,Kepler-63,2013
Transit,Transiting Exoplanet Survey Satellite (TESS),LP 714-47,2020
Transit,Next-Generation Transit Survey (NGTS),NGTS-25,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5398,2022
Transit,CoRoT,CoRoT-10,2010
Transit,HATSouth,HATS-22,2017
Transit,KELT,KELT-6,2014
Transit,HATNet,HAT-P-65,2016
Transit,K2,HD 106315,2017
Transit,Transiting Exoplanet Survey Satellite (TESS),HIP 9618,2023
Transit,K2,K2-12,2015
Transit,Kepler,Kepler-36,2012
Transit,Kepler,Kepler-432,2015
Transit,OGLE,OGLE2-TR-L9,2008
Radial Velocity,Haute-Provence Observatory,HD 118203,2005
Transit,K2,K2-19,2015
Transit,K2,K2-199,2018
Transit,Kepler,Kepler-36,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TIC 241249530,2024
Transit,K2,K2-138,2017
Transit,K2,K2-146,2019
Transit,Kepler,Kepler-409,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-286,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 207897,2021
Transit,K2,K2-238,2018
Transit,Kepler,Kepler-434,2015
Transit,Kepler,Kepler-9,2010
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1333,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-286,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-6038 A,2025
Transit,Kepler,Kepler-11,2010
Transit,Kepler,Kepler-29,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5720,2024
Transit,HATSouth,HATS-7,2015
Transit,Kepler,Kepler-38,2012
Transit,Qatar,Qatar-3,2017
Transit,HATNet,HAT-P-3,2007
Transit,HATSouth,HATS-25,2016
Transit,Kepler,Kepler-289,2014
Transit,OGLE,OGLE-TR-10,2004
Radial Velocity,La Silla Observatory,GJ 3470,2012
Transit,Kepler,Kepler-14,2011
Transit,Kepler,Kepler-34,2011
Transit,Kepler,Kepler-62,2013
Transit,Next-Generation Transit Survey (NGTS),NGTS-24,2022
Transit,Kepler,Kepler-1658,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1181,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-270,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),GJ 806,2023
Transit,Kepler,Kepler-968,2021
Transit,Kepler,Kepler-51,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1450 A,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1811,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1898,2024
Transit,HATSouth,HATS-43,2018
Transit,K2,K2-32,2016
Transit,Kepler,Kepler-18,2011
Transit,Kepler,Kepler-423,2014
Transit,Kepler,Kepler-8,2010
Transit,Kepler,Kepler-87,2013
Transit,K2,EPIC 246851721,2018
Transit,Kepler,Kepler-324,2021
Transit,Kepler,Kepler-31,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-270,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5108,2025
Transit,Kepler,Kepler-96,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1853,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1801,2023
Transit,Kepler,Kepler-60,2012
Transit,Qatar,Qatar-5,2017
Transit,Kepler,KOI-3503,2021
Transit,Kepler,Kepler-10,2011
Transit,OGLE,OGLE-TR-211,2007
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1749,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1855,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2154,2023
Transit,HATSouth,HATS-41,2018
Transit,K2,K2-98,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1710,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2529,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5301,2024
Transit,K2,K2-416,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1246,2022
Transit,K2,K2-32,2016
Transit,Kepler,Kepler-1647,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 18599,2022
Transit,Kepler,Kepler-105,2014
Transit,Kepler,Kepler-49,2012
Transit,Next-Generation Transit Survey (NGTS),NGTS-2,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1736,2023
Transit,HATNet,HAT-P-11,2008
Radial Velocity,Paranal Observatory,HD 42813,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1288,2022
Transit,HATNet,HAT-P-15,2010
Transit,HATSouth,HATS-40,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 28109,2022
Transit,Kepler,Kepler-28,2011
Transit,Kepler,Kepler-48,2014
Transit,SuperWASP,WASP-14,2008
Transit,SuperWASP-South,WASP-129,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-663,2024
Transit,SuperWASP,WASP-82,2015
Transit,SuperWASP-South,WASP-163,2018
Transit,SuperWASP-South,WASP-130,2016
Transit,SuperWASP,WASP-69,2014
Transit,SuperWASP,WASP-94 A,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-969,2022
Transit,TrES,TrES-2,2006
Transit,SuperWASP-South,WASP-119,2016
Transit,SuperWASP-South,WASP-158,2018
Transit,SuperWASP-South,WASP-159,2018
Transit,SuperWASP,WASP-44,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-757,2024
Transit,WASP-South,WASP-185,2019
Transit,WASP-South,WASP-192,2019
Transit,SuperWASP-South,WASP-164,2018
Transit,SuperWASP,WASP-72,2012
Transit,SuperWASP-North,WASP-113,2016
Transit,WASP-South,WASP-190,2019
Transit,SuperWASP,WASP-36,2011
Transit,K2,V1298 Tau,2019
Transit,TrES,TrES-4,2007
Transit,SuperWASP,WASP-135,2015
Transit,SuperWASP,WASP-52,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-776,2020
Transit,SuperWASP-South,WASP-168,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 307842,2023
Transit,SuperWASP,WASP-54,2012
Transit,SuperWASP,WASP-60,2012
Transit,SuperWASP,WASP-7,2008
Transit,SuperWASP,WASP-6,2009
Transit,SuperWASP-South,WASP-145 A,2018
Transit,SuperWASP,WASP-41,2012
Transit,SuperWASP,WASP-49,2012
Transit,SuperWASP,WASP-63,2012
Transit,SuperWASP,WASP-65,2013
Transit,SuperWASP,WASP-123,2016
Transit,SuperWASP,WASP-56,2012
Transit,SuperWASP,WASP-117,2014
Transit,SuperWASP-South,WASP-139,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-778,2023
Transit,SuperWASP,WASP-23,2010
Transit,SuperWASP,WASP-3,2007
Transit,SuperWASP,WASP-71,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-677,2020
Transit,SuperWASP-South,WASP-144,2018
Transit,SuperWASP,WASP-10,2008
Transit,XO,XO-5,2008
Transit,SuperWASP,WASP-35,2011
Transit,SuperWASP-South,WASP-124,2016
Transit,SuperWASP,WASP-31,2010
Transit,Anglo-Australian Telescope,WASP-87,2016
Transit,SuperWASP,WASP-11,2008
Transit,SuperWASP-North,WASP-114,2016
Transit,SuperWASP,WASP-88,2014
Transit,Haleakala Observatory,Wendelstein-1,2020
Transit,Multiple Observatories,WASP-167,2017
Transit,SuperWASP,WASP-55,2012
Transit,SuperWASP,WASP-92,2016
Transit,XO,XO-1,2006
Transit,SuperWASP,WASP-20,2015
Transit,SuperWASP,WASP-2,2007
Transit,SuperWASP,WASP-101,2014
Transit,SuperWASP,WASP-48,2011
Transit,SuperWASP,WASP-24,2010
Transit,WASP-South,WASP-184,2019
Transit,SuperWASP,WASP-100,2014
Transit,SuperWASP,WASP-45,2011
Transit,SuperWASP-North,WASP-176,2020
Transit,XO,XO-3,2007
Transit,SuperWASP,WASP-186,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-762 A,2024
Transit,SuperWASP-South,WASP-173 A,2018
Transit,SuperWASP,WASP-183,2019
Transit,SuperWASP,WASP-5,2008
Transit,SuperWASP,WASP-13,2009
Transit,SuperWASP,WASP-180 A,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-824,2020
Transit,SuperWASP-North,WASP-148,2020
Transit,SuperWASP,WASP-73,2014
Transit,SuperWASP,WASP-95,2014
Transit,SuperWASP,WASP-89,2015
Transit,SuperWASP,WASP-156,2017
Transit,SuperWASP,WASP-26,2010
Transit,SuperWASP-South,WASP-142,2016
Transit,SuperWASP-North,WASP-150,2020
Transit,SuperWASP,WASP-22,2010
Transit,WASP-South,WASP-169,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-837,2020
Transit,SuperWASP,WASP-32,2010
Transit,TrES,TrES-3,2007
Transit,SuperWASP,WASP-66,2012
Transit,SuperWASP-South,WASP-162,2018
Transit,SuperWASP-South,WASP-105,2017
Transit,SuperWASP,WASP-99,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-6383 A,2024
Transit,SuperWASP-South,WASP-133,2016
Transit,SuperWASP,WASP-75,2013
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-663,2024
Transit,SuperWASP,WASP-15,2009
Transit,SuperWASP,WASP-97,2014
Transit,SuperWASP,WASP-67,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-849,2020
Transit,SuperWASP,WASP-16,2009
Transit,SuperWASP,WASP-106,2014
Transit,SuperWASP,WASP-90,2016
Transit,SuperWASP,WASP-93,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-776,2020
Transit,SuperWASP,WASP-37,2010
Transit,SuperWASP,WASP-46,2011
Transit,SuperWASP,WASP-79,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-763,2020
Transit,SuperWASP,WASP-38,2010
Transit,SuperWASP,WASP-59,2012
Transit,SuperWASP,WASP-80,2012
Transit,SuperWASP,WASP-61,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-663,2024
Transit,SuperWASP,WASP-118,2016
Transit,SuperWASP-South,WASP-140,2016
Transit,Paranal Observatory,WASP-110,2021
Transit,SuperWASP-South,WASP-160 B,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-763,2020
Transit,SuperWASP,WASP-138,2016
Transit,SuperWASP,WASP-96,2014
Transit,SuperWASP,WASP-187,2020
Transit,WASP-South,WASP-171,2019
Transit,WASP-South,WASP-182,2019
Transit,SuperWASP,WASP-25,2010
Transit,SuperWASP,WASP-4,2007
Transit,Haleakala Observatory,Wendelstein-2,2020
Transit,SuperWASP,WASP-74,2015
Transit,TrES,TrES-5,2011
Transit,SuperWASP,WASP-136,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-892,2020
Transit,SuperWASP,WASP-104,2014
Transit,SuperWASP,WASP-34,2010
Transit,SuperWASP-South,WASP-141,2016
Transit,SuperWASP,WASP-177,2019
Transit,SuperWASP,WASP-70 A,2014
Transit,SuperWASP-South,WASP-91,2017
Transit,K2,WASP-85 A,2016
Transit,SuperWASP,WASP-43,2011
Transit,SuperWASP-South,WASP-147,2018
Transit,SuperWASP-South,WASP-161,2018
Transit,SuperWASP,WASP-103,2014
Transit,Lowell Observatory,XO-4,2010
Transit,SuperWASP,WASP-68,2014
Transit,SuperWASP,WASP-83,2015
Transit,SuperWASP-South,WASP-131,2016
Transit,SuperWASP,WASP-98,2014
Transit,United Kingdom Infrared Telescope,WTS-1,2012
Transit,Multiple Facilities,WASP-81,2017
Transit,SuperWASP,WASP-42,2012
Transit,SuperWASP,WASP-58,2012
Transit,SuperWASP,WASP-120,2016
Transit,SuperWASP-South,WASP-172,2018
Transit,SuperWASP,WASP-8,2010
